"BY RELIGION, SEX AND RURAL/URBAN",,,,,,,,,,,,


Id,Division,District,Tehsil,Area,Sex,Total,Muslim,Christian,HinduJati,QadianiAhmadi,Scheduled_Castes,Others
74,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,TOTAL,MALE,430703,423902,4519,1214,371,96,601
75,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,TOTAL,FEMALE,375877,369836,4031,1032,319,92,567
76,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,RURAL,BOTH SEXES,377344,374132,787,1363,138,143,781
77,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,RURAL,MALE,197585,195878,396,758,77,74,402
78,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,RURAL,FEMALE,179759,178254,391,605,61,69,379
79,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,URBAN,BOTH SEXES,429236,419606,7763,883,552,45,387
80,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,URBAN,MALE,233118,228024,4123,456,294,22,199
81,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,URBAN,FEMALE,196118,191582,3640,427,258,23,188
82,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,TOTAL,BOTH SEXES,317513,313562,2542,93,965,30,321
83,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,TOTAL,MALE,163619,161646,1260,42,501,13,157
84,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,TOTAL,FEMALE,153894,151916,1282,51,464,17,164
85,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,RURAL,BOTH SEXES,246218,243381,1603,93,884,4,253
86,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,RURAL,MALE,126993,125574,784,42,463,2,128
87,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,RURAL,FEMALE,119225,117807,819,51,421,2,125
88,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,URBAN,BOTH SEXES,71295,70181,939,-,81,26,68
89,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,URBAN,MALE,36626,36072,476,-,38,11,29
90,BAHAWALPUR,BAHAWALPUR,HASILPUR TEHSIL,URBAN,FEMALE,34669,34109,463,-,43,15,39
91,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,TOTAL,BOTH SEXES,184914,183801,211,88,252,3,559
92,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,TOTAL,MALE,96139,95542,111,46,127,2,311
93,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,TOTAL,FEMALE,88775,88259,100,42,125,1,248
94,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,RURAL,BOTH SEXES,158060,157290,38,78,198,-,456
95,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,RURAL,MALE,82153,81740,19,43,102,-,249
96,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,RURAL,FEMALE,75907,75550,19,35,96,-,207
97,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,URBAN,BOTH SEXES,26854,26511,173,10,54,3,103
98,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,URBAN,MALE,13986,13802,92,3,25,2,62
99,BAHAWALPUR,BAHAWALPUR,KHAIRPUR TAMEWALI TEHSIL,URBAN,FEMALE,12868,12709,81,7,29,1,41
100,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,TOTAL,BOTH SEXES,405787,384156,2867,16016,377,425,1946
101,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,TOTAL,MALE,212397,201112,1537,8330,204,220,994
102,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,TOTAL,FEMALE,193390,183044,1330,7686,173,205,952
103,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,RURAL,BOTH SEXES,384759,363277,2740,16016,359,421,1946
104,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,RURAL,MALE,201249,190039,1472,8330,196,218,994
105,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,RURAL,FEMALE,183510,173238,1268,7686,163,203,952
106,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,URBAN,BOTH SEXES,21028,20879,127,-,18,4,-
107,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,URBAN,MALE,11148,11073,65,-,8,2,-
108,BAHAWALPUR,BAHAWALPUR,YAZMAN TEHSIL,URBAN,FEMALE,9880,9806,62,-,10,2,-
109,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,TOTAL,BOTH SEXES,3141053,3039264,14085,56057,2667,17449,11531
110,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,TOTAL,MALE,1636864,1583855,7284,29182,1368,9167,6008
111,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,TOTAL,FEMALE,1504189,1455409,6801,26875,1299,8282,5523
112,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,RURAL,BOTH SEXES,2524471,2439303,6494,49474,1874,16792,10534
113,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,RURAL,MALE,1317045,1272580,3360,25804,1008,8802,5491
114,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,RURAL,FEMALE,1207426,1166723,3134,23670,866,7990,5043
115,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,URBAN,BOTH SEXES,616582,599961,7591,6583,793,657,997
116,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,URBAN,MALE,319819,311275,3924,3378,360,365,517
117,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN DISTRICT,URBAN,FEMALE,296763,288686,3667,3205,433,292,480
118,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,TOTAL,BOTH SEXES,683865,668422,3071,8198,690,1465,2019
